Accident_ID,Incident_Date,Incident_Category,Aircaft_Nature,Fatalities,International,Departure_Code,Destination_Code
0,2022-01-03,Accident,Passenger,0,0,ZAF,ZAF
1,2022-01-04,Accident,Passenger,0,0,HND,HND
2,2022-01-05,Accident,Passenger,0,0,IRN,IRN
3,2022-01-08,Accident,Cargo,0,1,CHN,RUS
4,2022-01-22,Accident,Passenger,0,0,USA,USA
5,2022-01-31,Accident,Military,0,0,CAN,CAN
6,2022-02-08,Accident,Military,0,0,SSD,SSD
7,2022-02-14,Accident,Cargo,0,0,COD,COD
8,2022-02-15,Accident,Passenger,0,0,PRI,PRI
9,2021-01-02,Accident,Other,0,0,BRA,BRA
10,2021-01-02,Accident,Other,0,0,USA,USA
11,2021-01-09,Accident,Passenger,62,0,IDN,IDN
12,2021-01-09,Accident,Other,1,0,USA,USA
13,2021-01-12,Accident,Military,4,0,KEN,KEN
14,2021-01-19,Accident,Cargo,0,0,GBR,GBR
15,2021-01-19,Accident,Other,0,0,GBR,GBR
16,2021-01-23,Accident,Other,0,0,MEX,MEX
17,2021-01-26,Accident,Military,0,0,ZMB,ZMB
18,2021-01-28,Accident,Other,0,0,USA,USA
19,2021-02-01,Accident,Cargo,0,1,HKG,JPN
20,2021-02-08,Accident,Other,0,1,ITA,FRA
21,2021-02-09,Accident,Military,0,0,RUS,RUS
22,2021-02-14,Accident,Passenger,0,0,MDV,MDV
23,2021-02-18,Accident,Cargo,0,0,USA,USA
24,2021-02-20,Accident,Other,0,0,CAN,CAN
25,2021-02-21,Accident,Military,7,0,NGA,NGA
26,2021-02-21,Accident,Military,6,0,MEX,MEX
27,2021-02-26,Accident,Other,0,0,KAZ,KAZ
28,2021-02-28,Accident,Cargo,0,0,COL,COL
29,2021-03-01,Accident,Other,5,0,CHN,CHN
30,2021-03-01,Accident,Passenger,0,0,DZA,DZA
31,2021-03-02,Accident,Passenger,10,0,SSD,SSD
32,2021-03-04,Hijacking,Passenger,0,0,IRN,IRN
33,2021-03-07,Accident,Other,0,0,USA,USA
34,2021-03-10,Accident,Cargo,0,0,IDN,IDN
35,2021-03-12,Accident,Passenger,0,0,USA,USA
36,2021-03-13,Accident,Military,4,0,KAZ,KAZ
37,2021-03-18,Accident,Passenger,0,0,MEX,MEX
38,2021-03-20,Accident,Cargo,0,0,IDN,IDN
39,2021-03-20,Accident,Other,2,0,KEN,KEN
40,2021-03-26,Accident,Other,0,0,KEN,KEN
41,2021-04-09,Accident,Military,0,1,GBR,USA
42,2021-04-16,Accident,Passenger,0,0,USA,USA
43,2021-04-18,Accident,Passenger,0,0,MEX,MEX
44,2021-04-20,Accident,Other,1,0,BRA,BRA
45,2021-05-05,Accident,Other,0,0,USA,USA
46,2021-05-06,Accident,Cargo,0,0,IND,IND
47,2021-05-12,Accident,Cargo,0,0,USA,USA
48,2021-05-21,Accident,Passenger,0,0,RUS,RUS
49,2021-05-29,Accident,Other,7,0,USA,USA
50,2021-06-05,Accident,Other,0,0,AUT,AUT
51,2021-06-10,Accident,Military,12,0,MMR,MMR
52,2021-06-16,Accident,Cargo,3,0,COD,COD
53,2021-06-18,Accident,Cargo,0,1,GBR,DEU
54,2021-06-19,Accident,Other,5,0,RUS,RUS
55,2021-06-23,Accident,Other,0,1,FRA,CHE
56,2021-06-25,Accident,Other,0,0,NLD,NLD
57,2021-07-01,Accident,Other,0,0,CAN,CAN
58,2021-07-02,Accident,Cargo,0,0,USA,USA
59,2021-07-04,Accident,Military,53,0,PHL,PHL
60,2021-07-05,Accident,Other,2,0,BHS,BHS
61,2021-07-06,Accident,Passenger,28,0,RUS,RUS
62,2021-07-07,Hijacking,Passenger,0,0,USA,USA
63,2021-07-08,Accident,Other,3,0,COL,COL
64,2021-07-11,Accident,Passenger,0,1,GRC,DEU
65,2021-07-14,Accident,Cargo,0,0,GUY,GUY
66,2021-07-15,Accident,Other,0,0,CAN,CAN
67,2021-07-16,Accident,Passenger,0,0,RUS,RUS
68,2021-07-17,Accident,Other,0,0,GBR,GBR
69,2021-07-21,Accident,Passenger,0,0,KEN,KEN
70,2021-07-21,Accident,Other,0,0,USA,USA
71,2021-07-26,Accident,Other,1,0,DEU,DEU
72,2021-07-26,Accident,Other,6,0,USA,USA
73,2021-07-27,Accident,Passenger,0,0,ETH,ETH
74,2021-08-03,Accident,Cargo,0,1,NGA,BEL
75,2021-08-21,Accident,Other,0,0,USA,USA
76,2021-08-24,Accident,Other,0,0,USA,USA
77,2021-09-02,Accident,Other,4,0,USA,USA
78,2021-09-12,Accident,Passenger,4,0,RUS,RUS
79,2021-09-14,Accident,Other,0,0,USA,USA
80,2021-09-15,Accident,Cargo,3,0,IDN,IDN
81,2021-09-17,Accident,Passenger,0,0,USA,USA
82,2021-09-22,Accident,Other,6,0,RUS,RUS
83,2021-09-23,Accident,Passenger,0,0,USA,USA
84,2021-09-25,Accident,Other,0,0,BEL,BEL
85,2021-09-27,Accident,Passenger,0,0,USA,USA
86,2021-09-28,Accident,Other,0,1,BRA,TTO
87,2021-09-29,Accident,Passenger,0,1,ATG,MSR
88,2021-10-05,Accident,Cargo,2,0,USA,USA
89,2021-10-10,Accident,Other,16,0,RUS,RUS
90,2021-10-19,Accident,Passenger,0,0,USA,USA
91,2021-10-22,Accident,Passenger,0,0,USA,USA
92,2021-10-22,Accident,Other,0,0,USA,USA
93,2021-10-25,Accident,Cargo,1,0,IDN,IDN
94,2021-10-29,Accident,Cargo,0,0,IDN,IDN
95,2021-10-30,Accident,Other,0,0,CAN,CAN
96,2021-11-01,Accident,Passenger,0,0,CAN,CAN
97,2021-11-02,Accident,Cargo,5,0,SSD,SSD
98,2021-11-03,Accident,Cargo,0,0,SOM,SOM
99,2021-11-03,Accident,Other,9,0,RUS,RUS
100,2021-11-06,Accident,Passenger,0,1,ETH,ZAF
101,2021-11-13,Accident,Passenger,4,0,USA,USA
102,2021-11-14,Accident,Other,0,0,USA,USA
103,2021-11-29,Accident,Cargo,0,1,CHL,USA
104,2021-12-01,Accident,Other,0,0,USA,USA
105,2021-12-05,Accident,Other,0,1,FIN,GBR
106,2021-12-10,Accident,Cargo,1,0,USA,USA
107,2021-12-12,Accident,Passenger,0,0,USA,USA
108,2021-12-15,Accident,Other,9,1,DOM,USA
109,2021-12-17,Accident,Other,0,0,CAN,CAN
110,2021-12-21,Accident,Cargo,1,0,USA,USA
111,2021-12-23,Accident,Cargo,5,0,COD,COD
112,2021-12-25,Accident,Passenger,0,1,USA,CAN
113,2021-12-27,Accident,Other,4,0,USA,USA
114,2021-12-28,Accident,Other,0,0,USA,USA
115,2021-12-30,Accident,Other,0,0,GTM,GTM
116,2020-01-02,Accident,Military,18,0,SDN,SDN
117,2020-01-03,Accident,Military,4,0,LKA,LKA
118,2020-01-03,Accident,Other,0,1,DOM,PRI
119,2020-01-04,Accident,Other,0,0,USA,USA
120,2020-01-08,"Criminal occurrence (sabotage, shoot down)",Passenger,176,1,IRN,UKR
121,2020-01-08,Accident,Passenger,0,0,USA,USA
122,2020-01-09,Accident,Military,0,0,COD,COD
123,2020-01-10,Accident,Other,0,1,RUS,TUR
124,2020-01-16,Accident,Other,0,0,USA,USA
125,2020-01-19,Accident,Passenger,0,0,CAN,CAN
126,2020-01-20,Accident,Passenger,0,0,CAN,CAN
127,2020-01-23,Accident,Other,3,0,AUS,AUS
128,2020-01-23,Accident,Other,3,0,ZAF,ZAF
129,2020-01-24,Accident,Other,0,1,USA,PRI
130,2020-01-27,Accident,Passenger,0,0,IRN,IRN
131,2020-01-27,Accident,Military,2,0,AFG,AFG
132,2020-01-31,Accident,Passenger,0,0,CAN,CAN
133,2020-02-01,Accident,Cargo,0,1,SAU,ESP
134,2020-02-03,Incident,Passenger,0,1,ESP,CAN
135,2020-02-03,Accident,Cargo,0,0,USA,USA
136,2020-02-04,Accident,Passenger,0,0,USA,USA
137,2020-02-05,Accident,Passenger,3,0,TUR,TUR
138,2020-02-06,Accident,Cargo,0,0,USA,USA
139,2020-02-07,Accident,Passenger,0,1,DEU,ISL
140,2020-02-07,Accident,Cargo,0,0,USA,USA
141,2020-02-08,Accident,Other,4,0,USA,USA
142,2020-02-09,Accident,Passenger,0,0,RUS,RUS
143,2020-02-12,Accident,Other,0,0,USA,USA
144,2020-02-14,Accident,Passenger,0,0,PNG,PNG
145,2020-02-20,Accident,Passenger,0,0,RUS,RUS
146,2020-02-20,Accident,Other,3,0,USA,USA
147,2020-02-20,Accident,Other,0,0,USA,USA
148,2020-02-23,Accident,Passenger,0,1,USA,CAN
149,2020-02-24,Accident,Passenger,0,0,CAN,CAN
150,2020-02-24,Accident,Passenger,0,0,MDV,MDV
151,2020-02-25,Accident,Passenger,0,0,USA,USA
152,2020-02-25,Accident,Cargo,0,0,IDN,IDN
153,2020-02-26,Accident,Other,0,0,KAZ,KAZ
154,2020-02-28,Accident,Cargo,0,1,SSD,ARE
155,2020-02-29,Accident,Other,0,0,USA,USA
156,2020-03-05,Accident,Cargo,0,0,USA,USA
157,2020-03-06,Accident,Other,0,0,USA,USA
158,2020-03-08,Accident,Other,0,1,USA,IRL
159,2020-03-09,Accident,Passenger,0,1,LAO,THA
160,2020-03-12,Accident,Other,0,0,CAN,CAN
161,2020-03-13,Accident,Other,2,0,VEN,VEN
162,2020-03-14,Accident,Other,0,0,USA,USA
163,2020-03-17,Accident,Cargo,1,0,USA,USA
164,2020-03-19,Accident,Passenger,0,0,PNG,PNG
165,2020-03-29,Accident,Other,8,1,PHL,JPN
166,2020-04-23,Accident,Military,0,0,DEU,DEU
167,2020-04-24,Accident,Other,0,1,USA,VEN
168,2020-04-28,Accident,Passenger,0,0,CAN,CAN
169,2020-05-02,Accident,Other,0,0,CAN,CAN
170,2020-05-04,"Criminal occurrence (sabotage, shoot down)",Cargo,6,0,SOM,SOM
171,2020-05-05,Accident,Other,3,0,ARG,ARG
172,2020-05-08,Accident,Cargo,0,0,USA,USA
173,2020-05-19,Accident,Passenger,0,0,USA,USA
174,2020-05-20,Accident,Other,0,0,USA,USA
175,2020-05-22,Accident,Passenger,98,0,PAK,PAK
176,2020-05-30,Accident,Other,0,0,USA,USA
177,2020-06-08,Accident,Military,0,1,KWT,IRQ
178,2020-06-13,Accident,Other,0,0,USA,USA
179,2020-06-14,Accident,Passenger,0,0,RUS,RUS
180,2020-06-14,Accident,Passenger,0,0,RUS,RUS
181,2020-06-16,Accident,Other,0,1,GBR,DEU
182,2020-07-13,Accident,Other,2,0,RUS,RUS
183,2020-07-14,Accident,Cargo,0,1,DJI,SOM
184,2020-07-15,Accident,Other,7,0,TUR,TUR
185,2020-07-17,Accident,Passenger,0,0,CAN,CAN
186,2020-07-19,Accident,Other,6,0,RUS,RUS
187,2020-07-22,"other occurrence (ground fire, sabotage)",Cargo,0,1,CHN,ETH
188,2020-07-25,Accident,Passenger,0,0,MEX,MEX
189,2020-08-03,Accident,Cargo,0,0,MLI,MLI
190,2020-08-04,Accident,Military,0,1,SOM,KEN
191,2020-08-07,Accident,Passenger,21,1,ARE,IND
192,2020-08-08,Accident,Other,1,0,PRT,PRT
193,2020-08-13,Accident,Cargo,4,0,COD,COD
194,2020-08-18,Accident,Passenger,0,0,SEN,SEN
195,2020-08-19,Accident,Cargo,0,0,USA,USA
196,2020-08-22,Accident,Cargo,7,0,SSD,SSD
197,2020-08-28,Accident,Passenger,0,1,AFG,ROU
198,2020-08-29,Accident,Passenger,0,0,JPN,JPN
199,2020-09-07,Accident,Other,0,0,BRA,BRA
200,2020-09-19,Accident,Cargo,0,0,SOM,SOM
201,2020-09-22,Accident,Other,0,0,COL,COL
202,2020-09-25,Accident,Military,26,0,UKR,UKR
203,2020-10-05,Accident,Passenger,0,0,MDV,MDV
204,2020-10-10,Accident,Other,0,0,SSD,SSD
205,2020-10-10,Accident,Cargo,0,0,USA,USA
206,2020-10-14,Accident,Cargo,0,0,PER,PER
207,2020-10-22,Accident,Passenger,0,0,MDV,MDV
208,2020-10-23,Accident,Passenger,0,0,JPN,JPN
209,2020-10-30,Accident,Other,0,0,BRA,BRA
210,2020-11-05,Accident,Passenger,0,0,ARG,ARG
211,2020-11-13,Accident,Cargo,0,1,RUS,AUT
212,2020-11-16,Accident,Passenger,0,0,IND,IND
213,2020-11-23,Accident,Passenger,0,1,CHE,FRA
214,2020-11-26,Accident,Cargo,0,0,CAN,CAN
215,2020-11-28,Accident,Passenger,0,0,CUB,CUB
216,2020-12-01,Accident,Passenger,0,0,PNG,PNG
217,2020-12-02,Accident,Passenger,0,0,SOM,SOM
218,2020-12-02,Accident,Other,0,0,USA,USA
219,2020-12-05,Accident,Passenger,0,0,CAN,CAN
220,2020-12-13,Accident,Other,0,0,USA,USA
221,2020-12-20,Accident,Other,0,0,USA,USA
222,2020-12-30,Accident,Passenger,0,0,SUR,SUR
223,2019-01-07,Accident,Other,0,1,LVA,FIN
224,2019-01-12,Accident,Other,0,0,USA,USA
225,2019-01-14,Accident,Military,15,1,KGZ,IRN
226,2019-01-16,Accident,Passenger,0,0,GUY,GUY
227,2019-01-21,Accident,Other,2,0,USA,USA
228,2019-01-21,Accident,Cargo,0,0,COD,COD
229,2019-01-22,Hijacking,Passenger,0,0,RUS,RUS
230,2019-01-23,Accident,Passenger,0,0,CAN,CAN
231,2019-01-28,Accident,Passenger,0,0,ESP,ESP
232,2019-01-28,Accident,Cargo,0,0,USA,USA
233,2019-01-29,Accident,Other,3,0,USA,USA
234,2019-01-30,Accident,Other,2,0,CAN,CAN
235,2019-02-04,Hijacking,Passenger,0,1,EGY,SDN
236,2019-02-08,Accident,Cargo,1,1,BHS,USA
237,2019-02-08,Accident,Passenger,0,1,ESP,DNK
238,2019-02-11,Accident,Other,0,0,USA,USA
